feature,missing_rate,unique_count,std,corr_target_pearson,corr_target_spearman,corr_within_group,corr_between_group,within_variance_ratio,abs_corr_within_group
ts_v2_tv_step_rel,0.0,159,0.002633977640834407,-0.02644167058737435,-0.030818605206591836,0.07130968752056124,-0.020078352576473963,0.4120916730551727,0.07130968752056124
ts_q_mean,0.0,159,0.17344619403205155,0.4459175511494536,0.3989401719608312,-0.07116351635591983,0.6201175979864668,0.020052202128818242,0.07116351635591983
ts_v1_mean,0.0,159,1.3601312776768577,0.4500024187179842,0.40141210890852647,-0.07034094809805683,0.6225692003944977,0.02055595748117278,0.07034094809805683
ts_v3_mad_rel,0.0,159,0.0035190649231528915,-0.1752764739506207,-0.2145121805588727,-0.07018504919796698,-0.3262584462625745,0.45530635046088513,0.07018504919796698
ts_v2_lag1,0.0,159,0.021792677408694887,0.018593656438079816,-0.07996477191306425,0.0694193450922521,0.15072996131723398,0.23797172242244963,0.0694193450922521
ts_v3_plateau_cv,0.0,159,0.004952343165121766,-0.26900304531766506,-0.3257732266539289,0.06941789463236826,-0.6073907679559231,0.5809874342772422,0.06941789463236826
ts_v4_mean,0.0,159,1.3063106839691228,0.432153100514056,0.37203248149032725,-0.06713354338780429,0.6104248461583375,0.020237286354745473,0.06713354338780429
ts_diff_alternating_mad,0.0,159,0.004724815633984793,-0.4513585989672678,-0.38852997372820636,0.06695503910078714,-0.6610625859869562,0.19674020386317492,0.06695503910078714
ts_v3_end_over_plateau,0.0,159,0.09872647225188515,-0.059556119740093436,-0.05809947456412707,0.06548740360170162,-0.2254543246493763,0.2664144829399225,0.06548740360170162
ts_diff_edge_inner_zero_cross,0.0,150,0.0493397499667477,0.2003447159863673,0.15871106132400092,-0.06447339059353963,0.3114996918776262,0.5394079466471948,0.06447339059353963
ts_diff_edge_inner_lag1,0.0,159,0.4945643561630991,-0.030412190452452886,0.014362909004060188,-0.06210475722166566,0.03999268679296042,0.7868931633688525,0.06210475722166566
ts_q_cv,0.0,159,0.044588966314558665,0.09978891896412102,0.08579830427513734,-0.06080867016959795,0.27858167581559173,0.19349314851260946,0.06080867016959795
ts_q_range_rel,0.0,159,0.057616348807180535,-0.03409257455858433,0.08458024838786722,0.06024531740079378,-0.2362335115052983,0.6029230906984858,0.06024531740079378
ts_v4_start_over_plateau,0.0,159,0.08754365853192139,-0.19051824652478178,-0.1910855027465966,-0.05990590810433986,-0.3226317973055541,0.0970320079136153,0.05990590810433986
ts_v3_range_rel,0.0,159,0.05799620656086896,-0.11136101166516245,-0.17582696441366133,0.05858927061463517,-0.35540154554003667,0.5590548910348804,0.05858927061463517
ts_channel_cv_mean,0.0,159,0.04450992784683674,0.09775444401267923,0.08532959159302604,-0.0582687770623088,0.27404703375858136,0.19499533139062486,0.0582687770623088
ts_v1_cv,0.0,159,0.044669195205353264,0.09994911787535615,0.0889001671841414,-0.0582072649208849,0.27806043386401247,0.19248270115138938,0.0582072649208849
ts_channel_cv_max,0.0,159,0.04439650783358127,0.09396209996748515,0.08270241222832578,-0.058103695736516435,0.2656430639183147,0.19708105210534074,0.058103695736516435
ts_v4_cv,0.0,159,0.04467601160897248,0.09803331929364073,0.08436231191784094,-0.05783944419804614,0.26736195040413624,0.19553711864264398,0.05783944419804614
ts_diff_center_edge_mad,0.0,159,0.004263727856139412,-0.441042898325718,-0.40607833771196566,0.05695528258966264,-0.6637965629016319,0.30922421211292567,0.05695528258966264
ts_diff_inner_skew_drift,0.0,159,0.08959175453240396,0.033459741024086255,0.016425841891569145,-0.05623055994842103,0.06651512582881162,0.5573339105297744,0.05623055994842103
ts_v2_mean,0.0,159,1.3656724964314224,0.4485890650465514,0.4013583711487939,-0.05450349784936825,0.6221980139797284,0.01964408844493333,0.05450349784936825
ts_v0_start_over_plateau,0.0,159,0.08687149739856162,-0.21429858204411317,-0.2155899211846191,-0.05247906801465155,-0.34723335532273275,0.09857485498582542,0.05247906801465155
ts_v2_cv,0.0,159,0.04445907139081808,0.10188701154596391,0.09101982326247911,-0.051578186349653464,0.279744772555552,0.19323431393354543,0.051578186349653464
ts_v3_mean,0.0,159,1.3551487849181085,0.44323034928522065,0.3918975400047767,-0.04937779187500051,0.6182006153976388,0.01989550644640353,0.04937779187500051
