window_id,base_volume_m3,model_volume_m3,zero_bias_volume_m3,base_error_pct,model_error_pct,zero_bias_error_pct,online_class,flow_point
updated_20260612_home__20260612_132710,81.28714727769014,81.12766561210273,80.9504679689963,0.4163642511746524,0.21935193669028866,0.0004545627445806248,B,50
updated_20260612_home__20260612_134855,82.39309941366464,82.11691726075813,81.98577681026752,0.3687391140311666,0.03230251132669146,-0.12744875129427893,B,40
updated_20260612_home__20260612_143802,84.0423001032172,83.81282477596308,83.59023371572802,0.3719058355006283,0.09784294204776747,-0.16799805600081547,B,70
updated_20260612_home__20260612_150041,83.44698769691456,83.21913785479218,82.99812351508389,0.35632616071128825,0.08230580715758204,-0.18349392719016275,B,70
updated_20260612_home__20260612_152235,82.74285249381656,82.52603708380383,82.3687398904625,0.40328901513345705,0.14019704261450838,-0.05067328742999009,B,60
updated_20260612_home__20260612_155813,42.55281204691588,42.300016779265235,42.23246378968359,0.7450904442100361,0.14658987801352802,-0.013343901161298646,B,20
updated_20260612_home__20260612_161743,82.99017832820809,82.711994763275,82.57990397594321,0.3865682941796664,0.05007192795867941,-0.10970771236301985,B,40
updated_20260612_home__20260612_164251,81.66902503551998,81.39526998417955,81.2652820020487,0.41660420793256925,0.0800071611523694,-0.07982028563964916,B,40
updated_20260613_home__20260613_080944,83.80255609158401,83.57373537915431,83.35177929527842,0.4194674714166841,0.1452747121468065,-0.12069225574018927,B,70
updated_20260613_home__20260613_085407,82.15418540495892,81.99300265021664,81.81391495292846,0.3446665587245009,0.14779491183388532,-0.07094616849660845,B,50
updated_20260613_home__20260613_090136,42.70034165922117,42.446669956241465,42.378882762011905,0.8039265039522699,0.20507640791850942,0.04504922594512999,B,20
updated_20260613_home__20260613_092646,82.8107064471836,82.64823562818007,82.46771678236193,0.3861049252942806,0.18915197822349009,-0.02967943349560813,B,50
updated_20260613_home__20260613_102710,82.52746376757386,82.2508312245643,82.11947691390787,0.6530683085835919,0.3156786327498898,0.15547481938222016,B,40
updated_20260613_home__20260613_105317,81.17194948636897,80.79918996974233,80.67015392546097,0.8452428407050772,0.3821392166913366,0.221829265986712,B,30
updated_20260613_home__20260613_111857,82.63115748020856,82.40553524139703,82.18668167683037,0.6560365735870868,0.381197868500971,0.1146043331924808,B,70
updated_20260613_home__20260613_115341,84.34246136118455,84.11216645137715,83.88878039609115,0.6554963424055276,0.3806591124066755,0.11406700793280479,B,70
